step,t_star,outlet_bulk_T_K,max_T_K,min_T_K,energy_closure_pct,mass_imbalance_pct
10500,15.4025,293.5206,322.147,291.516,14.577,0.12174
10600,15.5492,293.5265,322.279,291.516,14.742,0.12175
10700,15.6959,293.5325,322.415,291.516,14.908,0.12175
10800,15.8426,293.5384,322.553,291.516,15.074,0.12174
10900,15.9893,293.5443,322.690,291.516,15.241,0.12174
11000,16.1360,293.5503,322.825,291.516,15.407,0.12173
11100,16.2827,293.5563,322.958,291.516,15.574,0.12173
11200,16.4293,293.5622,323.090,291.516,15.742,0.12173
11300,16.5760,293.5682,323.220,291.516,15.909,0.12174
11400,16.7227,293.5742,323.348,291.516,16.077,0.12175
11500,16.8694,293.5802,323.481,291.516,16.245,0.12175
11600,17.0161,293.5862,323.613,291.516,16.413,0.12175
11700,17.1628,293.5922,323.744,291.516,16.582,0.12174
11800,17.3095,293.5983,323.874,291.516,16.751,0.12174
11900,17.4562,293.6043,324.002,291.516,16.920,0.12174
12000,17.6029,293.6104,324.129,291.516,17.090,0.12173
12100,17.7496,293.6164,324.254,291.516,17.259,0.12173
12200,17.8963,293.6225,324.379,291.516,17.429,0.12174
12300,18.0430,293.6286,324.508,291.516,17.599,0.12174
12400,18.1896,293.6347,324.636,291.516,17.770,0.12175
12500,18.3363,293.6408,324.763,291.516,17.940,0.12175
12600,18.4830,293.6469,324.888,291.516,18.111,0.12175
12700,18.6297,293.6530,325.012,291.516,18.282,0.12174
12800,18.7764,293.6591,325.134,291.516,18.454,0.12174
12900,18.9231,293.6652,325.255,291.516,18.625,0.12173
13000,19.0698,293.6714,325.376,291.516,18.797,0.12173
13100,19.2165,293.6775,325.497,291.516,18.969,0.12174
13200,19.3632,293.6837,325.617,291.516,19.142,0.12174
13300,19.5099,293.6898,325.739,291.516,19.314,0.12175
13400,19.6566,293.6960,325.860,291.516,19.487,0.12175
13500,19.8033,293.7022,325.980,291.516,19.659,0.12175
13600,19.9500,293.7083,326.099,291.516,19.832,0.12174
13700,20.0966,293.7146,326.216,291.516,20.007,0.12174
13800,20.2433,293.7208,326.338,291.516,20.182,0.12174
13900,20.3900,293.7271,326.458,291.516,20.359,0.12173
14000,20.5367,293.7335,326.577,291.516,20.536,0.12173
14100,20.6834,293.7398,326.696,291.516,20.714,0.12174
14200,20.8301,293.7462,326.813,291.516,20.893,0.12174
14300,20.9768,293.7527,326.928,291.516,21.074,0.12174
14400,21.1235,293.7592,327.043,291.516,21.257,0.12174
14500,21.2702,293.7658,327.157,291.516,21.442,0.12174
14600,21.4169,293.7725,327.273,291.516,21.629,0.12174
14700,21.5636,293.7792,327.390,291.516,21.817,0.12173
14800,21.7103,293.7859,327.506,291.516,22.004,0.12173
14900,21.8569,293.7924,327.620,291.516,22.186,0.12173
15000,22.0036,293.7987,327.734,291.516,22.363,0.12173
15100,22.1503,293.8047,327.847,291.516,22.531,0.12173
15200,22.2970,293.8105,327.959,291.516,22.692,0.12174
15300,22.4437,293.8160,328.070,291.516,22.846,0.12174
15400,22.5904,293.8213,328.184,291.516,22.996,0.12174
15500,22.7371,293.8267,328.297,291.516,23.147,0.12174
15600,22.8838,293.8322,328.410,291.516,23.302,0.12174
15700,23.0305,293.8381,328.521,291.516,23.465,0.12174
15800,23.1772,293.8444,328.632,291.516,23.641,0.12174
15900,23.3239,293.8512,328.744,291.516,23.832,0.12174
16000,23.4706,293.8586,328.855,291.516,24.038,0.12173
16100,23.6173,293.8664,328.966,291.516,24.259,0.12174
16200,23.7639,293.8748,329.076,291.516,24.492,0.12173
16300,23.9106,293.8834,329.185,291.516,24.734,0.12174
16400,24.0573,293.8922,329.293,291.516,24.980,0.12174
16500,24.2040,293.9010,329.402,291.516,25.227,0.12174
16600,24.3507,293.9097,329.511,291.516,25.471,0.12174
16700,24.4974,293.9182,329.619,291.516,25.708,0.12174
16800,24.6441,293.9264,329.726,291.516,25.939,0.12174
